x,y,z,pitch,yaw,roll
0,66.0,500,0,0,112
0,66.5,500,0,0,113
0,67.0,500,0,0,114
0,67.5,500,0,0,115
0,68.0,500,0,0,116
0,68.5,500,0,0,117
0,69.0,500,0,0,118
0,69.5,500,0,0,119
0,70.0,500,0,0,120
0,70.5,500,0,0,121
0,71.0,500,0,0,122
0,71.5,500,0,0,123
0,72.0,500,0,0,124
0,72.5,500,0,0,125
0,73.0,500,0,0,126
0,73.5,500,0,0,127
0,74.0,500,0,0,128
0,74.5,500,0,0,129
0,75.0,500,0,0,130
0,75.5,500,0,0,131
0,76.0,500,0,0,132
0,76.5,500,0,0,133
0,77.0,500,0,0,134
0,77.5,500,0,0,135
0,78.0,500,0,0,136
0,78.5,500,0,0,137
0,79.0,500,0,0,138
0,79.5,500,0,0,139
0,80.0,500,0,0,140
0,80.5,500,0,0,141
0,81.0,500,0,0,142
0,81.5,500,0,0,143
0,82.0,500,0,0,144
0,82.5,500,0,0,145
0,83.0,500,0,0,146
0,83.5,500,0,0,147
0,84.0,500,0,0,148
0,84.5,500,0,0,149
0,85.0,500,0,0,150
0,85.5,500,0,0,151
0,86.0,500,0,0,152
0,86.5,500,0,0,153
0,87.0,500,0,0,154
0,87.5,500,0,0,155
0,88.0,500,0,0,156
0,88.5,500,0,0,157
0,89.0,500,0,0,158
0,89.5,500,0,0,159
0,90.0,500,0,0,160
0,90.5,500,0,0,161
0,91.0,500,0,0,162
0,91.5,500,0,0,163
0,92.0,500,0,0,164
0,92.5,500,0,0,165
0,93.0,500,0,0,166
0,93.5,500,0,0,167
0,94.0,500,0,0,168
0,94.5,500,0,0,169
0,95.0,500,0,0,170
0,95.5,500,0,0,171
0,96.0,500,0,0,172
0,96.5,500,0,0,173
0,97.0,500,0,0,174
0,97.5,500,0,0,175
0,98.0,500,0,0,176
0,98.5,500,0,0,177
0,99.0,500,0,0,178
0,99.5,500,0,0,179
0,100.0,500,0,0,180
0,100.5,500,0,0,181
0,101.0,500,0,0,182
0,101.5,500,0,0,183
0,102.0,500,0,0,184
0,102.5,500,0,0,185
0,103.0,500,0,0,186
0,103.5,500,0,0,187
0,104.0,500,0,0,188
0,104.5,500,0,0,189
0,105.0,500,0,0,190
0,105.5,500,0,0,191
0,106.0,500,0,0,192
0,106.5,500,0,0,193
0,107.0,500,0,0,194
0,107.5,500,0,0,195
0,108.0,500,0,0,196
0,108.5,500,0,0,197
0,109.0,500,0,0,198
0,109.5,500,0,0,199
0,110.0,500,0,0,200
0,110.5,500,0,0,201
0,111.0,500,0,0,202
0,111.5,500,0,0,203
0,112.0,500,0,0,204
0,112.5,500,0,0,205
0,113.0,500,0,0,206
0,113.5,500,0,0,207
0,114.0,500,0,0,208
0,114.5,500,0,0,209
0,115.0,500,0,0,210
0,115.5,500,0,0,211
0,116.0,500,0,0,212
0,116.5,500,0,0,213
0,117.0,500,0,0,214
0,117.5,500,0,0,215
0,118.0,500,0,0,216
0,118.5,500,0,0,217
0,119.0,500,0,0,218
0,119.5,500,0,0,219
0,120.0,500,0,0,220
0,120.5,500,0,0,221
0,121.0,500,0,0,222
0,121.5,500,0,0,223
0,122.0,500,0,0,224
0,122.5,500,0,0,225
0,123.0,500,0,0,226
0,123.5,500,0,0,227
0,124.0,500,0,0,228
0,124.5,500,0,0,229
0,125.0,500,0,0,230
0,125.5,500,0,0,231
0,126.0,500,0,0,232
0,126.5,500,0,0,233
0,127.0,500,0,0,234
0,127.5,500,0,0,235
0,128.0,500,0,0,236
0,128.5,500,0,0,237
0,129.0,500,0,0,238
0,129.5,500,0,0,239
0,130.0,500,0,0,240
0,130.5,500,0,0,241
0,131.0,500,0,0,242
0,131.5,500,0,0,243
0,132.0,500,0,0,244
0,132.5,500,0,0,245
0,133.0,500,0,0,246
0,133.5,500,0,0,247
0,134.0,500,0,0,248
0,134.5,500,0,0,249
0,135.0,500,0,0,250
0,135.5,500,0,0,251
0,136.0,500,0,0,252
0,136.5,500,0,0,253
0,137.0,500,0,0,254
0,137.5,500,0,0,255
0,138.0,500,0,0,256
0,138.5,500,0,0,257
0,139.0,500,0,0,258
0,139.5,500,0,0,259
0,140.0,500,0,0,260
0,140.5,500,0,0,261
0,141.0,500,0,0,262
0,141.5,500,0,0,263
0,142.0,500,0,0,264
0,142.5,500,0,0,265
0,143.0,500,0,0,266
0,143.5,500,0,0,267
0,144.0,500,0,0,268
0,144.5,500,0,0,269
0,145.0,500,0,0,270
0,145.5,500,0,0,271
0,146.0,500,0,0,272
0,146.5,500,0,0,273
0,147.0,500,0,0,274
0,147.5,500,0,0,275
0,148.0,500,0,0,276
0,148.5,500,0,0,277
0,149.0,500,0,0,278
0,149.5,500,0,0,279
0,150.0,500,0,0,280
0,150.5,500,0,0,281
0,151.0,500,0,0,282
0,151.5,500,0,0,283
0,152.0,500,0,0,284
0,152.5,500,0,0,285
0,153.0,500,0,0,286
0,153.5,500,0,0,287
0,154.0,500,0,0,288
0,154.5,500,0,0,289
0,155.0,500,0,0,290
0,155.5,500,0,0,291
0,156.0,500,0,0,292
0,156.5,500,0,0,293
0,157.0,500,0,0,294
0,157.5,500,0,0,295
0,158.0,500,0,0,296
0,158.5,500,0,0,297
0,159.0,500,0,0,298
0,159.5,500,0,0,299
0,160.0,500,0,0,300
0,160.5,500,0,0,301
0,161.0,500,0,0,302
0,161.5,500,0,0,303
0,162.0,500,0,0,304
0,162.5,500,0,0,305
0,163.0,500,0,0,306
0,163.5,500,0,0,307
0,164.0,500,0,0,308
0,164.5,500,0,0,309
0,165.0,500,0,0,310
0,165.5,500,0,0,311
0,166.0,500,0,0,312
0,166.5,500,0,0,313
0,167.0,500,0,0,314
0,167.5,500,0,0,315
0,168.0,500,0,0,316
0,168.5,500,0,0,317
0,169.0,500,0,0,318
0,169.5,500,0,0,319
0,170.0,500,0,0,320
0,170.5,500,0,0,321
0,171.0,500,0,0,322
0,171.5,500,0,0,323
0,172.0,500,0,0,324
0,172.5,500,0,0,325
0,173.0,500,0,0,326
0,173.5,500,0,0,327
0,174.0,500,0,0,328
0,174.5,500,0,0,329
0,175.0,500,0,0,330
0,175.5,500,0,0,331
0,176.0,500,0,0,332
0,176.5,500,0,0,333
0,177.0,500,0,0,334
0,177.5,500,0,0,335
0,178.0,500,0,0,336
0,178.5,500,0,0,337
0,179.0,500,0,0,338
0,179.5,500,0,0,339
0,180.0,500,0,0,340
0,180.5,500,0,0,341
0,181.0,500,0,0,342
0,181.5,500,0,0,343
0,182.0,500,0,0,344
0,182.5,500,0,0,345
0,183.0,500,0,0,346
0,183.5,500,0,0,347
0,184.0,500,0,0,348
0,184.5,500,0,0,349
0,185.0,500,0,0,350
0,185.5,500,0,0,351
0,186.0,500,0,0,352
0,186.5,500,0,0,353
0,187.0,500,0,0,354
0,187.5,500,0,0,355
0,188.0,500,0,0,356
0,188.5,500,0,0,357
0,189.0,500,0,0,358
0,189.5,500,0,0,359
0,190.0,500,0,0,360
0,190.5,500,0,0,0
0,191.0,500,0,0,0
0,191.5,500,0,0,0
0,192.0,500,0,0,0
0,192.5,500,0,0,0
0,193.0,500,0,0,0
0,193.5,500,0,0,0
0,194.0,500,0,0,0
0,194.5,500,0,0,0
0,195.0,500,0,0,0
0,195.5,500,0,0,0
0,196.0,500,0,0,0
0,196.5,500,0,0,0
0,197.0,500,0,0,0
0,197.5,500,0,0,0
0,198.0,500,0,0,0
0,198.5,500,0,0,0
0,199.0,500,0,0,0
0,199.5,500,0,0,0
0,200.0,500,0,0,0
